seqname,tax_id
1_PF00687b,s__Abditibacterium_utsteinense
2_PF00687b,s__Acidobacterium_sp.
3_PF00687b,s__Bryocella_elongata
4_PF00687b,s__Candidatus_Sulfotelmatobacter_kueseliae
5_PF00687b,s__Candidatus_Sulfotelmatomonas_gaucii
6_PF00687b,s__Terriglobus_roseus
7_PF00687b,s__Bryobacter_aggregatus
8_PF00687b,s__Candidatus_Solibacter_usitatus
9_PF00687b,s__Pyrinomonas_methylaliphatogenes
10_PF00687b,s__Holophaga_foetida
11_PF00687b,s__Acidimicrobium_sp.
12_PF00687b,s__Acidimicrobium_sp._BACL19_MAG-120924-bin39
13_PF00687b,s__Acidithrix_ferrooxidans
14_PF00687b,s__Ferrithrix_thermotolerans
15_PF00687b,s__Ilumatobacter_nonamiensis
16_PF00687b,s__Candidatus_Microthrix_parvicella
17_PF00687b,s__Acidothermus_cellulolyticus
18_PF00687b,s__Actinomyces_provencensis
19_PF00687b,s__Actinomyces_sp._oral_taxon_414
20_PF00687b,s__Mobiluncus_curtisii
21_PF00687b,g__Actinopolyspora
22_PF00687b,s__Aeriscardovia_aeriphila
23_PF00687b,s__Bifidobacterium_lemurum
24_PF00687b,s__Candidatus_Planktophila_sulfonica
25_PF00687b,s__Corynebacterium_caspium
26_PF00687b,s__Corynebacterium_durum
27_PF00687b,s__Corynebacterium_kroppenstedtii
28_PF00687b,s__Corynebacterium_mustelae
29_PF00687b,s__Corynebacterium_phocae
30_PF00687b,s__Corynebacterium_urinapleomorphum
31_PF00687b,s__Dietzia_sp._WMMA184
32_PF00687b,s__Candidatus_Frankia_californiensis
33_PF00687b,s__Geodermatophilus_sabuli
34_PF00687b,s__Haloglycomyces_albus
35_PF00687b,s__Stackebrandtia_nassauensis
36_PF00687b,s__Haloactinopolyspora_alba
37_PF00687b,s__Brevibacterium_aurantiacum
38_PF00687b,s__Cellulomonas_sp._73-145
39_PF00687b,s__Demequina_sp._NBRC_110054
40_PF00687b,s__Brachybacterium_faecium
41_PF00687b,s__Kytococcus_sedentarius
42_PF00687b,s__Janibacter_corallicola
43_PF00687b,g__Serinicoccus
44_PF00687b,s__Candidatus_Aquiluna_sp._UB-MaderosW2red
45_PF00687b,g__Cryobacterium
46_PF00687b,s__Gulosibacter_sp._10
47_PF00687b,s__Pontimonas_salivibrio
48_PF00687b,s__Pseudoclavibacter_soli
49_PF00687b,s__Enteractinococcus_helveticum
50_PF00687b,s__Glutamicibacter_arilaitensis
51_PF00687b,s__Nesterenkonia_jeotgali
52_PF00687b,s__Asanoa_ishikariensis
53_PF00687b,s__Aeromicrobium_sp._Root236
54_PF00687b,s__Friedmanniella_luteola
55_PF00687b,s__Kribbella_catacumbae
56_PF00687b,s__Nocardioides_luteus
57_PF00687b,g__Cutibacterium
58_PF00687b,g__Propionimicrobium
59_PF00687b,s__Pseudopropionibacterium_propionicum
60_PF00687b,g__Streptomyces
61_PF00687b,s__Streptomonospora_alba
62_PF00687b,s__Streptosporangium_subroseum
63_PF00687b,s__Actinocorallia_populi
64_PF00687b,s__Atopobium_parvulum
65_PF00687b,s__Olsenella_sp._oral_taxon_807
66_PF00687b,s__Collinsella_aerofaciens
67_PF00687b,s__Denitrobacterium_detoxificans
68_PF00687b,s__Phoenicibacter_congonensis
69_PF00687b,g__Slackia
70_PF00687b,s__Euzebya_rosea
71_PF00687b,s__Nitriliruptor_alkaliphilus
72_PF00687b,s__Gaiella_sp._SCGC_AG-212-M14
73_PF00687b,s__Rubrobacter_aplysinae
74_PF00687b,s__Rubrobacter_xylanophilus
75_PF00687b,s__Conexibacter_woesei
76_PF00687b,s__Patulibacter_medicamentivorans
77_PF00687b,s__Thermoleophilum_album
78_PF00687b,s__Aquifex_aeolicus
79_PF00687b,s__Hydrogenivirga_sp._128-5-R1-1
80_PF00687b,s__Hydrogenobacter_hydrogenophilus
81_PF00687b,g__Hydrogenobaculum
82_PF00687b,s__Thermocrinis_albus
83_PF00687b,s__Persephonella_sp._KM09-Lau-8
84_PF00687b,s__Sulfurihydrogenibium_yellowstonense
85_PF00687b,s__Desulfurobacterium_thermolithotrophum
86_PF00687b,s__Chthonomonas_calidirosea
87_PF00687b,s__Fimbriimonas_ginsengisoli
88_PF00687b,s__Bacteroides_sp._SM1_62
89_PF00687b,s__Bacteroides_sp._SM23_62_1
90_PF00687b,s__Bacteroides_uniformis
91_PF00687b,s__Lentimicrobium_saccharophilum
92_PF00687b,g__Muribaculum
93_PF00687b,s__Butyricimonas_sp._Marseille-P3923
94_PF00687b,s__Prevotella_sp._S7-1-8
95_PF00687b,s__Alistipes_ihumii
96_PF00687b,s__Williamwhitmania_taraxaci
97_PF00687b,s__Anaerophaga_thermohalophila
98_PF00687b,s__Prolixibacter_bellariivorans
99_PF00687b,s__Salinivirga_cyanobacteriivorans
100_PF00687b,s__Chitinophaga_rupis
101_PF00687b,s__Candidatus_Amoebophilus_asiaticus
102_PF00687b,s__Cardinium_endosymbiont_of_Bemisia_tabaci
103_PF00687b,s__Catalinimonas_alkaloidigena
104_PF00687b,s__Algoriphagus_zhangzhouensis
105_PF00687b,s__Candidatus_Nephrothrix_sp._EaCA
106_PF00687b,s__Cytophaga_aurantiaca
107_PF00687b,s__Ekhidna_lutea
108_PF00687b,s__Flexibacter_sp._CG_4_10_14_3_um_filter_32_15
109_PF00687b,s__Runella_zeae
110_PF00687b,s__Cesiribacter_andamanensis
111_PF00687b,s__Fabibacter_sp._4D4
112_PF00687b,g__Hymenobacter
113_PF00687b,s__Microscilla_marina
114_PF00687b,s__Thermonema_rossianum
115_PF00687b,s__Blattabacterium_cuenoti
116_PF00687b,s__Blattabacterium_punctulatus
117_PF00687b,s__Blattabacterium_sp._(Blattella_germanica)
118_PF00687b,s__Blattabacterium_sp._(Mastotermes_darwiniensis)
119_PF00687b,s__Blattabacterium_sp._(Nauphoeta_cinerea)
120_PF00687b,s__Blattabacterium_sp._(Periplaneta_americana)
121_PF00687b,s__Fluviicola_sp.
122_PF00687b,s__Owenweeksia_sp._TMED14
123_PF00687b,g__Chryseobacterium
124_PF00687b,s__Flavobacterium_swingsii
125_PF00687b,s__Gramella_sp._MAR_2010_147
126_PF00687b,s__Polaribacter_glomeratus
127_PF00687b,s__Ichthyobacterium_seriolicida
128_PF00687b,s__Haliscomenobacter_hydrossis
129_PF00687b,s__Lewinella_agarilytica
130_PF00687b,s__Lewinella_nigricans
131_PF00687b,s__Aureispira_sp._CCB-QB1
132_PF00687b,s__Saprospira_grandis
133_PF00687b,s__Sphingobacterium_spiritivorum
134_PF00687b,s__Aliifodinibius_sp._WN023
135_PF00687b,s__Balneola_vulgaris
136_PF00687b,s__Rhodohalobacter_barkolensis
137_PF00687b,s__Caldisericum_exile
138_PF00687b,s__Caldisericum_sp._CG2_30_36_11
139_PF00687b,s__Caldithrix_abyssi
140_PF00687b,s__Caldithrix_sp._RBG_13_44_9
141_PF00687b,s__Candidatus_Fermentibacter_daniensis
142_PF00687b,s__Candidatus_Rubidus_massiliensis
143_PF00687b,s__Chlamydia_abortus
144_PF00687b,s__Candidatus_Similichlamydia_epinepheli
145_PF00687b,s__Criblamydia_sequanensis
146_PF00687b,g__Candidatus_Protochlamydia
147_PF00687b,g__Neochlamydia
148_PF00687b,s__Parachlamydia_sp.
149_PF00687b,s__Simkania_negevensis
150_PF00687b,s__Waddlia_chondrophila
151_PF00687b,s__Chlorobium_phaeobacteroides
152_PF00687b,s__Chlorobium_sp._445
153_PF00687b,s__Anaerolinea_sp._4484_236
154_PF00687b,s__Anaerolinea_thermophila
155_PF00687b,s__Brevefilum_fermentans
