tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7
g__Ignisphaera,f__Desulfurococcaceae,rank_6,g__Ignisphaera,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Ignisphaera,
s__Ignisphaera_aggregans,g__Ignisphaera,rank_7,s__Ignisphaera_aggregans,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Ignisphaera,s__Ignisphaera_aggregans
f__Pyrodictiaceae,o__Desulfurococcales,rank_5,f__Pyrodictiaceae,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Pyrodictiaceae,,
g__Hyperthermus,f__Pyrodictiaceae,rank_6,g__Hyperthermus,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Pyrodictiaceae,g__Hyperthermus,
s__Hyperthermus_butylicus,g__Hyperthermus,rank_7,s__Hyperthermus_butylicus,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Pyrodictiaceae,g__Hyperthermus,s__Hyperthermus_butylicus
g__Pyrolobus,f__Pyrodictiaceae,rank_6,g__Pyrolobus,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Pyrodictiaceae,g__Pyrolobus,
s__Pyrolobus_fumarii,g__Pyrolobus,rank_7,s__Pyrolobus_fumarii,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Pyrodictiaceae,g__Pyrolobus,s__Pyrolobus_fumarii
o__Sulfolobales,c__Thermoprotei,rank_4,o__Sulfolobales,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,,,
f__Sulfolobaceae,o__Sulfolobales,rank_5,f__Sulfolobaceae,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,,
g__Sulfolobus,f__Sulfolobaceae,rank_6,g__Sulfolobus,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,
s__Sulfolobus_acidocaldarius,g__Sulfolobus,rank_7,s__Sulfolobus_acidocaldarius,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus_acidocaldarius
o__Thermoproteales,c__Thermoprotei,rank_4,o__Thermoproteales,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,,,
f__Thermofilaceae,o__Thermoproteales,rank_5,f__Thermofilaceae,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermofilaceae,,
g__Thermofilum,f__Thermofilaceae,rank_6,g__Thermofilum,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermofilaceae,g__Thermofilum,
s__Thermofilum_pendens,g__Thermofilum,rank_7,s__Thermofilum_pendens,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermofilaceae,g__Thermofilum,s__Thermofilum_pendens
f__Thermoproteaceae,o__Thermoproteales,rank_5,f__Thermoproteaceae,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,,
g__Pyrobaculum,f__Thermoproteaceae,rank_6,g__Pyrobaculum,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Pyrobaculum,
s__Pyrobaculum_oguniense,g__Pyrobaculum,rank_7,s__Pyrobaculum_oguniense,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Pyrobaculum,s__Pyrobaculum_oguniense
g__Thermoproteus,f__Thermoproteaceae,rank_6,g__Thermoproteus,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Thermoproteus,
s__Thermoproteus_uzoniensis,g__Thermoproteus,rank_7,s__Thermoproteus_uzoniensis,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Thermoproteus,s__Thermoproteus_uzoniensis
g__Vulcanisaeta,f__Thermoproteaceae,rank_6,g__Vulcanisaeta,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Vulcanisaeta,
s__Vulcanisaeta_moutnovskia,g__Vulcanisaeta,rank_7,s__Vulcanisaeta_moutnovskia,Root,r__Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Vulcanisaeta,s__Vulcanisaeta_moutnovskia
p__Euryarchaeota,d__Archaea,rank_2,p__Euryarchaeota,Root,r__Root,d__Archaea,p__Euryarchaeota,,,,,
c__Thermococci,p__Euryarchaeota,rank_3,c__Thermococci,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,,,,
o__Thermococcales,c__Thermococci,rank_4,o__Thermococcales,Root,r__Root,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,,,
